Date,Time,Open,High,Low,Close,Volume,Open Interest
20161003,120100,8702.35,8702.35,8699.4,8699.4,0,0
20161003,120200,8699.5,8701.4,8699.3,8700.95,785291,0
20161003,120300,8701.15,8703.6,8701.15,8703.55,254749,0
20161003,120400,8703.7,8704.45,8701.1,8701.1,198575,0
20161003,120500,8701.05,8702.3,8700.2,8702.3,313182,0
20161003,120600,8702.35,8704,8702.05,8703.8,192405,0
20161003,120700,8704,8704,8701.9,8702,162082,0
20161003,120800,8701.9,8703.05,8701.6,8702.15,126950,0
20161003,120900,8702.35,8705.5,8702.05,8705.5,235776,0
20161003,121000,8706.1,8706.3,8705.2,8705.2,127597,0
20161003,121100,8705.3,8705.35,8703.6,8705,767577,0
20161003,121200,8704.85,8706.25,8704.45,8706.25,215011,0
20161003,121300,8705.95,8707.3,8705.75,8707.1,386107,0
20161003,121400,8707.35,8709.9,8707,8709.75,232604,0
20161003,121500,8709.45,8710.45,8709.25,8710.4,195146,0
20161003,121600,8710.25,8711.6,8709.9,8710.6,182993,0
20161003,121700,8710.6,8712.9,8710.6,8712.5,165507,0
20161003,121800,8712.55,8714.05,8711.7,8713.55,341243,0
20161003,121900,8713.65,8713.65,8710.85,8710.85,80812,0
20161003,122000,8711.05,8712.25,8710.4,8711.2,331768,0
20161003,122100,8711.35,8711.75,8710.45,8710.45,173172,0
20161003,122200,8710.2,8711.2,8709.8,8710.3,172199,0
20161003,122300,8710.05,8711.15,8709.5,8710.4,179220,0
20161003,122400,8710.4,8710.5,8709.05,8709.5,322964,0
20161003,122500,8709.45,8709.5,8707.6,8707.6,254052,0
20161003,122600,8707.45,8710.25,8706.8,8710.05,220759,0
20161003,122700,8710.25,8710.25,8708.15,8708.25,258692,0
20161003,122800,8708.9,8709,8707.15,8708.55,150695,0
20161003,122900,8708.4,8709.35,8707.85,8709.05,131198,0
20161003,123000,8708.9,8709.5,8706.65,8706.7,145561,0
20161003,123100,8706.95,8708.55,8706.6,8708.55,127351,0
20161003,123200,8708.7,8709.45,8707.9,8709.05,603020,0
20161003,123300,8709.1,8709.65,8707.95,8708.55,161437,0
20161003,123400,8708.6,8709.65,8703.65,8703.65,406292,0
20161003,123500,8703.9,8707.4,8703.65,8707,60499,0
20161003,123600,8707,8707.1,8706.4,8706.5,220634,0
20161003,123700,8706.55,8707.55,8706.05,8706.65,205578,0
20161003,123800,8706.85,8708.6,8706.15,8708.5,351149,0
20161003,123900,8707.85,8708.9,8707.1,8708.85,473706,0
20161003,124000,8709.2,8710.4,8707.95,8708.8,247513,0
20161003,124100,8708.6,8709.35,8707.95,8708.9,158016,0
20161003,124200,8708.95,8710.6,8708.75,8710.4,166224,0
20161003,124300,8710.6,8712.15,8710.6,8711.6,245417,0
20161003,124400,8711.9,8712.55,8711.35,8712.25,194251,0
20161003,124500,8712.2,8713.55,8711.65,8712.75,73783,0
20161003,124600,8713.25,8713.25,8711.15,8711.15,255348,0
20161003,124700,8711.2,8711.2,8709.4,8710.25,578564,0
20161003,124800,8710.35,8710.9,8708.5,8708.5,238913,0
20161003,124900,8708.65,8709.7,8708.65,8709,227550,0
20161003,125000,8709.25,8709.95,8708.9,8709.5,239569,0
20161003,125100,8710.1,8710.5,8709.25,8709.25,246107,0
20161003,125200,8709.4,8711.35,8709.2,8710.75,195368,0
20161003,125300,8710.65,8711.65,8710.5,8710.95,93709,0
20161003,125400,8711.55,8712.65,8710.65,8710.75,426013,0
20161003,125500,8710.8,8712.05,8710.8,8711.7,249249,0
20161003,125600,8711.65,8711.75,8709.25,8709.3,191053,0
20161003,125700,8709.45,8712.65,8709.3,8711.9,246266,0
20161003,125800,8711.85,8712.35,8710.95,8711.3,197906,0
20161003,125900,8711.45,8711.75,8709.15,8710.6,233883,0
20161003,130000,8710.45,8711.85,8710.2,8711.8,209390,0
20161003,130100,8711.3,8713.5,8710.85,8712.5,487797,0
20161003,130200,8712.9,8713.75,8712.45,8713.55,124332,0
20161003,130300,8713.4,8714.85,8713.4,8714.7,521238,0
20161003,130400,8714.65,8716.4,8714.65,8715.4,581652,0
20161003,130500,8715.25,8715.9,8714.8,8715.4,226014,0
20161003,130600,8715.3,8716.4,8713.4,8715.8,361520,0
20161003,130700,8715.35,8717.3,8715.05,8716.25,241891,0
20161003,130800,8715.35,8715.6,8713.1,8714.2,239783,0
20161003,130900,8714.45,8715.5,8713.5,8715,185385,0
20161003,131000,8715.45,8716.3,8714.05,8715.8,183484,0
20161003,131100,8715.4,8716.35,8715,8715.3,269220,0
20161003,131200,8715.5,8716.75,8715.5,8715.75,201725,0
20161003,131300,8715.85,8716.4,8715,8716.05,254606,0
20161003,131400,8716.1,8716.55,8715.3,8716.25,179346,0
20161003,131500,8716,8716,8715.05,8715.9,243490,0
20161003,131600,8715.55,8718.8,8715.55,8718.8,377790,0
20161003,131700,8718.8,8718.8,8716.3,8717.45,289595,0
20161003,131800,8717.25,8718,8716.35,8716.6,273045,0
20161003,131900,8716.2,8718.1,8716,8717.35,213323,0
20161003,132000,8717.2,8719.15,8716.45,8719.15,226297,0
20161003,132100,8717.75,8718.6,8715.85,8717.15,64343,0
20161003,132200,8717.15,8719.05,8716.5,8719.05,241000,0
20161003,132300,8718.4,8719.65,8717.7,8718.65,572230,0
20161003,132400,8718.55,8719.65,8717.75,8717.75,357615,0
20161003,132500,8718,8718.9,8711.9,8715.35,450661,0
20161003,132600,8714.8,8718,8714.25,8716.1,355220,0
20161003,132700,8716.5,8716.5,8715,8715.4,217077,0
20161003,132800,8715.5,8717.3,8714.9,8715.9,326226,0
20161003,132900,8715.8,8717.15,8715.2,8716.5,281140,0
20161003,133000,8716.55,8717.7,8715.6,8717.15,74764,0
20161003,133100,8717.4,8719.9,8716.75,8718.95,428819,0
20161003,133200,8719.1,8722.05,8719.05,8721.6,393041,0
20161003,133300,8721.6,8723.7,8720.3,8720.3,386973,0
20161003,133400,8720.1,8724.8,8717.9,8724.05,484133,0
20161003,133500,8724.1,8724.4,8720.45,8720.95,360548,0
20161003,133600,8720.8,8722.05,8720.75,8720.8,269247,0
20161003,133700,8720.55,8721.75,8718.7,8721.5,334141,0
20161003,133800,8721.4,8722.25,8719.9,8722.25,231282,0
20161003,133900,8722.15,8722.95,8721.65,8722.85,212005,0
20161003,134000,8722.65,8724.7,8722.4,8723.2,223596,0
20161003,134100,8722.95,8723.8,8721.85,8722.3,219483,0
20161003,134200,8722.35,8723.5,8721.9,8723.35,221425,0
20161003,134300,8723.3,8723.95,8722.4,8723.5,278088,0
20161003,134400,8723.65,8723.8,8722.05,8723.6,248652,0
20161003,134500,8723.35,8730.85,8723,8728.8,526660,0
20161003,134600,8728.75,8731.8,8728.25,8729.35,612523,0
20161003,134700,8728.55,8729.9,8727.3,8728.65,371153,0
20161003,134800,8728.1,8730.55,8727.65,8729.3,442298,0
20161003,134900,8729.45,8731.35,8728.95,8729.8,290034,0
20161003,135000,8729.7,8730.45,8729.15,8729.65,285453,0
20161003,135100,8730.05,8730.15,8728.05,8729,353093,0
20161003,135200,8728.65,8728.75,8727.55,8727.9,343204,0
20161003,135300,8727.35,8727.9,8726.55,8726.55,364165,0
20161003,135400,8726.55,8728.7,8726.55,8728.6,394378,0
20161003,135500,8728.45,8729.95,8728,8729.9,299249,0
20161003,135600,8730.3,8730.7,8729.3,8729.35,126483,0
20161003,135700,8729.5,8729.95,8728.85,8729.55,0,0
20161003,135800,8729.45,8729.45,8728.1,8728.1,644967,0
20161003,135900,8728,8729.15,8727.85,8728.7,238771,0
20161003,140000,8728.7,8732.95,8728.65,8729.95,456078,0
20161003,140100,8729.6,8729.6,8728.45,8728.95,235883,0
20161003,140200,8728.95,8728.95,8727.45,8728.5,295740,0
20161003,140300,8728.5,8728.5,8725.3,8725.3,200623,0
20161003,140400,8725.4,8725.9,8724.45,8725.15,266438,0
20161003,140500,8725.2,8725.45,8722.85,8722.95,84954,0
20161003,140600,8722.35,8722.35,8717.95,8721.3,661803,0
20161003,140700,8721.95,8723.9,8721.45,8721.7,453429,0
20161003,140800,8722.25,8722.25,8720.65,8721.45,271673,0
20161003,140900,8721.3,8721.5,8719.9,8720.75,254765,0
20161003,141000,8720.25,8723.85,8720.25,8723.75,288507,0
20161003,141100,8723.15,8724.7,8722.35,8723.4,259631,0
20161003,141200,8723.2,8724.7,8723.15,8724.55,228417,0
20161003,141300,8724.3,8725.7,8723.95,8725.4,305372,0
20161003,141400,8725.4,8725.4,8722.1,8722.3,299408,0
20161003,141500,8722.5,8722.95,8721.2,8722.45,280343,0
20161003,141600,8722.45,8724.65,8722,8723.9,291601,0
20161003,141700,8724.15,8724.55,8722.7,8724.35,221594,0
20161003,141800,8724.35,8725.35,8723.1,8725.25,334552,0
20161003,141900,8725.1,8726.65,8724.45,8726.45,248983,0
20161003,142000,8726.35,8727.2,8726.1,8726.45,193930,0
20161003,142100,8726.7,8727.05,8723.95,8723.95,227494,0
20161003,142200,8724.05,8725.6,8723.95,8725.1,261509,0
20161003,142300,8725.15,8725.8,8723.6,8723.7,192932,0
20161003,142400,8724,8724,8722.9,8723.05,170808,0
20161003,142500,8722.9,8724,8722.35,8723.9,228209,0
20161003,142600,8723.9,8725.7,8723.7,8725.35,237134,0
20161003,142700,8725.55,8726.9,8725.55,8726.75,292824,0
20161003,142800,8726.9,8728.9,8725.9,8728.9,433788,0
20161003,142900,8728.35,8732.25,8728.35,8731.9,418154,0
20161003,143000,8731.25,8733.25,8728.35,8728.4,364834,0
20161003,143100,8728.55,8731.75,8726.25,8731.15,411194,0
20161003,143200,8731,8734.55,8731,8733.1,451705,0
20161003,143300,8733.1,8733.2,8727.5,8728.6,267333,0
20161003,143400,8728.4,8730.55,8726.4,8730.55,351684,0
20161003,143500,8730.45,8731.5,8727.15,8728.9,364544,0
20161003,143600,8728.75,8730.2,8728.65,8730.1,296179,0
20161003,143700,8730.15,8731.6,8729.5,8730.65,148885,0
20161003,143800,8730.5,8732.05,8730.05,8731.5,493212,0
20161003,143900,8731.2,8731.65,8730.2,8731.45,286166,0
20161003,144000,8731.6,8732.4,8728.25,8730,402234,0
20161003,144100,8729.85,8733.9,8729.75,8733.45,367046,0
20161003,144200,8733.45,8733.65,8730.55,8732.3,265101,0
20161003,144300,8732.5,8733.5,8732.05,8732.85,296604,0
20161003,144400,8732.75,8732.75,8731.85,8732.2,280785,0
20161003,144500,8732.65,8736.35,8731.45,8736.35,433464,0
20161003,144600,8736.1,8738.35,8736.1,8737.75,468947,0
20161003,144700,8737.55,8738.15,8735.7,8736.75,316829,0
20161003,144800,8736.95,8738,8735.6,8736.55,286824,0
20161003,144900,8736.4,8736.6,8734.85,8735.35,306097,0
20161003,145000,8735,8736.5,8734.2,8736.5,427582,0
20161003,145100,8736.35,8742.65,8736.35,8742.4,627244,0
20161003,145200,8742.55,8744.35,8740.55,8740.55,545894,0
20161003,145300,8740.55,8742.85,8739.55,8742.85,534662,0
20161003,145400,8742.75,8742.75,8738.6,8741.05,515511,0
20161003,145500,8741.45,8742.4,8739.15,8739.7,504291,0
20161003,145600,8740.05,8742.55,8739.9,8741.8,355518,0
20161003,145700,8741.6,8742.7,8740.4,8740.7,403426,0
20161003,145800,8740.7,8742.3,8740.7,8742.25,396226,0
20161003,145900,8742.3,8745.2,8742.1,8744,634657,0
20161003,150000,8743.55,8744,8737.25,8737.3,810207,0
20161003,150100,8737.25,8739.55,8737.25,8739.45,0,0
20161003,150200,8739.3,8739.75,8736.95,8736.95,1246659,0
20161003,150300,8737.15,8737.8,8735.9,8736.3,564938,0
20161003,150400,8736.3,8737.6,8734.4,8737.2,787630,0
20161003,150500,8736.9,8737.75,8733.35,8733.45,598961,0
20161003,150600,8733.6,8734.2,8731.15,8732.3,920531,0
20161003,150700,8732.25,8735.9,8732.25,8734.65,419727,0
20161003,150800,8734.7,8735.35,8733.75,8735,1155739,0
20161003,150900,8735,8735,8732.5,8732.7,726378,0
20161003,151000,8732.35,8735.3,8732.35,8734.45,656005,0
20161003,151100,8734.7,8740.5,8734.35,8740,1300718,0
20161003,151200,8739.85,8739.85,8736.8,8737.1,951786,0
20161003,151300,8737.25,8740.25,8737.25,8739.3,963713,0
20161003,151400,8738.7,8739.2,8737.9,8738.9,794915,0
20161003,151500,8739.05,8741.5,8738.35,8738.7,379385,0
20161003,151600,8739.25,8741.7,8738.8,8739.75,2210138,0
20161003,151700,8739.45,8740.05,8735.75,8735.8,736285,0
20161003,151800,8736.1,8737.15,8735.45,8735.6,800909,0
20161003,151900,8735.65,8735.65,8734.1,8735.15,966285,0
20161003,152000,8735.8,8735.8,8734.35,8735.75,1054770,0
20161003,152100,8736,8739.65,8736,8739.1,1476241,0
20161003,152200,8738.95,8739.8,8738.9,8739.3,999328,0
20161003,152300,8739.05,8739.45,8738.15,8738.95,873764,0
20161003,152400,8738.85,8739.65,8737.8,8738.7,0,0
